,Date,Score,Order,dateObject,Gender,Form,Year
0,-2.088627158,0.155145119,0,9/15/1990,Male,KS1,1990
1,-1.045796277,0.09182058,1,10/15/1990,Male,KS1,1990
2,-0.023723167,0.026912929,2,11/15/1990,Male,KS1,1990
3,0.643655648,-0.012664908,3,12/15/1990,Male,KS1,1990
4,1.64431201,-0.060158311,4,1/15/1991,Male,KS1,1991
5,2.686868317,-0.115567282,5,2/15/1991,Male,KS1,1991
6,3.729918857,-0.185224274,6,3/15/1991,Male,KS1,1991
7,4.730520304,-0.231134565,7,4/15/1991,Male,KS1,1991
8,5.731670899,-0.292875989,8,5/15/1991,Male,KS1,1991
9,6.773897717,-0.33878628,9,6/15/1991,Male,KS1,1991
10,7.796080657,-0.406860158,10,7/15/1991,Male,KS1,1991
11,8.421559526,-0.438522427,11,8/15/1991,Male,KS1,1991
12,10.23045101,0.213720317,12,9/15/1991,Male,KS1,1991
13,11.2103496,0.164643799,13,10/15/1991,Male,KS1,1991
14,12.19068751,0.102902375,14,11/15/1991,Male,KS1,1991
15,13.21319993,0.025329815,15,12/15/1991,Male,KS1,1991
16,13.94279715,-0.007915567,16,1/15/1992,Male,KS1,1992
17,14.90160848,-0.049076517,17,2/15/1992,Male,KS1,1992
18,15.92340701,-0.106068602,18,3/15/1992,Male,KS1,1992
19,16.86179006,-0.158311346,19,4/15/1992,Male,KS1,1992
20,17.96650985,-0.205804749,20,5/15/1992,Male,KS1,1992
21,18.90538714,-0.272295515,21,6/15/1992,Male,KS1,1992
22,19.96925036,-0.341952507,22,7/15/1992,Male,KS1,1992
23,21.01120261,-0.37994723,23,8/15/1992,Male,KS1,1992
0,-2.054195617,0.362532982,0,9/15/1990,Female,KS1,1990
1,-1.116087142,0.318205805,1,10/15/1990,Female,KS1,1990
2,0.218670488,0.239050132,2,11/15/1990,Female,KS1,1990
3,0.677428212,0.213720317,3,12/15/1990,Female,KS1,1990
4,1.719929605,0.159894459,4,1/15/1991,Female,KS1,1991
5,2.679454827,0.098153034,5,2/15/1991,Female,KS1,1991
6,3.72184639,0.047493404,6,3/15/1991,Female,KS1,1991
7,4.722392923,0.003166227,7,4/15/1991,Female,KS1,1991
8,5.72403775,-0.072823219,8,5/15/1991,Female,KS1,1991
9,6.745177309,-0.110817942,9,6/15/1991,Female,KS1,1991
10,7.766866016,-0.164643799,10,7/15/1991,Female,KS1,1991
11,8.413102657,-0.194722955,11,8/15/1991,Female,KS1,1991
12,10.22276294,0.435356201,12,9/15/1991,Female,KS1,1991
13,11.20277136,0.383113456,13,10/15/1991,Female,KS1,1991
14,12.12039664,0.329287599,14,11/15/1991,Female,KS1,1991
15,13.12116283,0.278627968,15,12/15/1991,Female,KS1,1991
16,13.93505417,0.21530343,16,1/15/1992,Female,KS1,1992
17,14.9143487,0.183641161,17,2/15/1992,Female,KS1,1992
18,15.87299529,0.147229551,18,3/15/1992,Female,KS1,1992
19,16.87387131,0.093403694,19,4/15/1992,Female,KS1,1992
20,18.00039225,0.017414248,20,5/15/1992,Female,KS1,1992
21,18.95936832,-0.028496042,21,6/15/1992,Female,KS1,1992
22,19.95985994,-0.071240106,22,7/15/1992,Female,KS1,1992
23,21.02377808,-0.142480211,23,8/15/1992,Female,KS1,1992
0,-2.051724138,0.13156363,0,9/15/1990,Male,KS2,1990
1,-1.005747126,0.095040715,1,10/15/1990,Male,KS2,1990
2,0.0,0.050833407,2,11/15/1990,Male,KS2,1990
3,0.683908046,0.026480877,3,12/15/1990,Male,KS2,1990
